iter	Passed	Remaining
648	6727	3638
649	6729	3623
650	6740	3613
651	6755	3605
652	6771	3598
653	6773	3583
654	6775	3568
655	6778	3554
656	6780	3539
657	6782	3525
658	6784	3510
659	6788	3497
660	6802	3488
661	6817	3480
662	6833	3473
663	6848	3465
664	6864	3457
665	6878	3449
666	6893	3441
667	6909	3434
668	6924	3426
669	6939	3417
670	6954	3409
671	6957	3395
672	6970	3386
673	6972	3372
674	6975	3358
675	6985	3348
676	7001	3340
677	7014	3331
678	7030	3323
679	7032	3309
680	7035	3295
681	7044	3284
682	7059	3276
683	7074	3268
684	7077	3254
685	7080	3240
686	7083	3227
687	7090	3215
688	7105	3207
689	7120	3199
690	7123	3185
691	7136	3176
692	7151	3168
693	7167	3160
694	7170	3146
695	7183	3137
696	7199	3129
697	7214	3121
698	7232	3114
699	7245	3105
700	7260	3096
701	7263	3083
702	7276	3074
703	7291	3065
704	7306	3057
705	7323	3049
706	7338	3041
707	7354	3033
708	7369	3024
709	7384	3016
710	7387	3002
711	7390	2989
712	7399	2978
713	7414	2969
714	7430	2961
715	7434	2948
716	7444	2938
717	7459	2929
718	7475	2921
719	7490	2912
720	7505	2904
721	7520	2895
722	7536	2887
723	7552	2879
724	7566	2870
725	7583	2861
726	7598	2853
727	7601	2840
728	7610	2828
729	7612	2815
730	7614	2802
731	7617	2788
732	7619	2775
733	7621	2762
734	7623	2748
735	7640	2740
736	7656	2732
737	7670	2723
738	7673	2710
739	7675	2696
740	7678	2683
741	7681	2670
742	7685	2658
743	7700	2649
744	7703	2636
745	7706	2623
746	7708	2610
747	7715	2599
748	7730	2590
749	7745	2581
750	7760	2573
751	7775	2564
752	7790	2555
753	7805	2546
754	7807	2533
755	7810	2520
756	7821	2510
757	7837	2502
758	7852	2493
759	7867	2484
760	7883	2475
761	7899	2467
762	7915	2458
763	7931	2450
764	7933	2437
765	7935	2424
766	7938	2411
767	7940	2398
768	7943	2386
769	7945	2373
770	7947	2360
771	7950	2348
772	7953	2335
773	7961	2324
774	7976	2315
775	7980	2303
776	7989	2293
777	8005	2284
778	8021	2275
779	8036	2266
780	8039	2254
781	8042	2242
782	8052	2231
783	8067	2222
784	8083	2213
785	8099	2205
786	8102	2192
787	8114	2183
788	8129	2174
789	8143	2164
790	8158	2155
791	8161	2143
792	8164	2131
793	8173	2120
794	8189	2111
795	8192	2099
796	8204	2089
797	8220	2080
798	8236	2072
799	8239	2059
800	8251	2049
801	8266	2040
802	8268	2028
803	8280	2018
804	8297	2009
805	8312	2000
806	8328	1991
807	8359	1986
808	8375	1977
809	8389	1968
810	8405	1958
811	8420	1949
812	8423	1937
813	8435	1927
814	8451	1918
815	8466	1909
816	8469	1897
817	8482	1887
818	8497	1878
819	8514	1868
820	8528	1859
821	8544	1850
822	8558	1840
823	8574	1831
824	8577	1819
825	8590	1809
826	8604	1800
827	8621	1790
828	8636	1781
829	8651	1772
830	8666	1762
831	8669	1750
832	8681	1740
833	8684	1728
834	8686	1716
835	8695	1705
836	8712	1696
837	8714	1684
838	8717	1672
839	8719	1660
840	8727	1650
841	8742	1640
842	8758	1631
843	8773	1621
844	8787	1611
845	8802	1602
846	8818	1592
847	8833	1583
848	8849	1573
849	8864	1564
850	8866	1552
851	8879	1542
852	8881	1530
853	8884	1518
854	8895	1508
855	8911	1499
856	8926	1489
857	8929	1477
858	8932	1466
859	8934	1454
860	8937	1442
861	8956	1433
862	8958	1422
863	8961	1410
864	8963	1398
865	8965	1387
866	8968	1375
867	8986	1366
868	9003	1357
869	9018	1347
870	9021	1336
871	9023	1324
872	9026	1313
873	9034	1302
874	9036	1290
875	9048	1280
876	9051	1269
877	9063	1259
878	9066	1248
879	9068	1236
880	9070	1225
881	9073	1213
882	9078	1202
883	9093	1193
884	9109	1183
885	9124	1174
886	9139	1164
887	9155	1154
888	9158	1143
889	9171	1133
890	9185	1123
891	9188	1112
892	9203	1102
893	9215	1092
894	9231	1083
895	9247	1073
896	9262	1063
897	9278	1053
898	9293	1044
899	9308	1034
900	9322	1024
901	9339	1014
902	9354	1004
903	9369	995
904	9384	985
905	9387	973
906	9400	963
907	9416	954
908	9431	944
909	9446	934
910	9461	924
911	9476	914
912	9478	903
913	9481	892
914	9484	881
915	9486	869
916	9489	858
917	9507	849
918	9510	838
919	9522	828
920	9538	818
921	9554	808
922	9557	797
923	9560	786
924	9569	775
925	9585	765
926	9587	755
927	9600	744
928	9602	733
929	9605	722
930	9607	712
931	9615	701
932	9618	690
933	9631	680
934	9647	670
935	9662	660
936	9678	650
937	9680	639
938	9693	629
939	9709	619
940	9725	609
941	9739	599
942	9755	589
943	9771	579
944	9786	569
945	9788	558
946	9801	548
947	9804	537
948	9806	527
949	9818	516
950	9820	506
951	9823	495
952	9832	484
953	9848	474
954	9863	464
955	9879	454
956	9894	444
957	9909	434
958	9925	424
959	9940	414
960	9955	404
961	9971	393
962	9986	383
963	9989	373
964	9992	362
965	9994	351
966	9996	341
967	9999	330
968	10001	319
969	10003	309
970	10005	298
971	10007	288
972	10010	277
973	10012	267
974	10014	256
975	10017	246
976	10019	235
977	10021	225
978	10023	215
979	10026	204
980	10028	194
981	10030	183
982	10033	173
983	10045	163
984	10048	153
985	10050	142
986	10052	132
987	10054	122
988	10056	111
989	10058	101
990	10060	91
991	10063	81
992	10076	71
993	10078	60
994	10080	50
995	10091	40
996	10094	30
997	10096	20
998	10098	10
999	10100	0
